n,ts_est,city,temp_side,bet,edge_pct,line,ticker,settle_outcome_f,result,wager_usd,payout_usd
1,2026-03-05 12:17 AM EST,Miami,high,BUY NO,34.7,82F to 83F,KXHIGHMIA-26MAR05-B82.5,84.0,WIN,15.0,28.48
2,2026-03-05 12:17 AM EST,Minneapolis,high,BUY NO,18.0,51F or below,KXHIGHTMIN-26MAR05-T52,54.0,WIN,15.0,15.3
3,2026-03-05 12:17 AM EST,Dallas,high,BUY NO,17.7,81F to 82F,KXHIGHTDAL-26MAR05-B81.5,82.0,LOSS,15.0,-15.0
4,2026-03-05 12:35 AM EST,Houston,high,BUY NO,18.7,82F to 83F,KXHIGHTHOU-26MAR05-B82.5,82.0,LOSS,15.0,-15.0
5,2026-03-05 12:35 AM EST,Phoenix,high,BUY NO,16.9,79F to 80F,KXHIGHTPHX-26MAR05-B79.5,81.0,WIN,15.0,14.13
6,2026-03-05 01:10 AM EST,Denver,low,BUY NO,9.3,32F to 33F,KXLOWTDEN-26MAR05-B32.5,36.0,WIN,15.0,7.22
7,2026-03-05 01:46 AM EST,Los Angeles,high,BUY NO,12.7,76F or above,KXHIGHLAX-26MAR05-T75,76.0,LOSS,15.0,-15.0
8,2026-03-05 01:46 AM EST,Boston,high,BUY NO,12.5,42F or above,KXHIGHTBOS-26MAR05-T41,42.0,LOSS,15.0,-15.0
9,2026-03-05 02:04 AM EST,Las Vegas,high,BUY NO,42.0,65F to 66F,KXHIGHTLV-26MAR05-B65.5,66.0,LOSS,15.0,-15.0
10,2026-03-05 02:04 AM EST,New York City,low,BUY NO,37.0,41F or above,KXLOWTNYC-26MAR05-T40,37.0,WIN,15.0,13.57
11,2026-03-05 02:22 AM EST,San Antonio,high,BUY YES,28.6,83F or below,KXHIGHTSATX-26MAR05-T84,87.0,LOSS,15.0,-15.0
12,2026-03-05 02:22 AM EST,Atlanta,high,BUY NO,22.4,81F to 82F,KXHIGHTATL-26MAR05-B81.5,81.0,LOSS,15.0,-15.0
13,2026-03-05 02:39 AM EST,Austin,high,BUY NO,26.9,87F to 88F,KXHIGHAUS-26MAR05-B87.5,88.0,LOSS,15.0,-15.0
14,2026-03-05 05:01 AM EST,Philadelphia,high,BUY YES,20.8,48F or below,KXHIGHPHIL-26MAR05-T49,49.0,LOSS,15.0,-15.0
15,2026-03-05 05:01 AM EST,Chicago,high,BUY YES,19.7,44F or below,KXHIGHCHI-26MAR05-T45,51.0,LOSS,15.0,-15.0
16,2026-03-05 05:55 AM EST,Oklahoma City,high,BUY NO,17.3,73F to 74F,KXHIGHTOKC-26MAR05-B73.5,75.0,WIN,15.0,6.9
17,2026-03-05 06:12 AM EST,Chicago,low,BUY NO,25.8,41F to 42F,KXLOWTCHI-26MAR05-B41.5,40.0,WIN,15.0,16.58
18,2026-03-05 06:30 AM EST,San Francisco,high,BUY NO,14.7,64F to 65F,KXHIGHTSFO-26MAR05-B64.5,63.0,WIN,15.0,9.19
19,2026-03-05 08:17 AM EST,Phoenix,high,BUY NO,15.4,81F to 82F,KXHIGHTPHX-26MAR05-B81.5,81.0,LOSS,15.0,-15.0
20,2026-03-05 08:23 AM EST,Denver,high,BUY NO,14.4,68F to 69F,KXHIGHDEN-26MAR05-B68.5,69.0,LOSS,15.0,-15.0
21,2026-03-05 08:33 AM EST,Miami,high,BUY NO,38.8,82F to 83F,KXHIGHMIA-26MAR05-B82.5,84.0,WIN,15.0,31.15
22,2026-03-05 08:33 AM EST,Washington DC,high,BUY YES,26.2,60F or below,KXHIGHTDC-26MAR05-T61,59.0,WIN,15.0,38.57
23,2026-03-05 08:33 AM EST,Denver,high,BUY NO,14.4,68F to 69F,KXHIGHDEN-26MAR05-B68.5,69.0,LOSS,15.0,-15.0
24,2026-03-05 08:40 AM EST,Houston,high,BUY NO,17.4,82F to 83F,KXHIGHTHOU-26MAR05-B82.5,82.0,LOSS,15.0,-15.0
25,2026-03-05 08:50 AM EST,Los Angeles,high,BUY NO,15.2,76F or above,KXHIGHLAX-26MAR05-T75,76.0,LOSS,15.0,-15.0
26,2026-03-05 09:06 AM EST,Las Vegas,high,BUY NO,48.0,65F to 66F,KXHIGHTLV-26MAR05-B65.5,66.0,LOSS,15.0,-15.0
27,2026-03-05 09:06 AM EST,Houston,high,BUY NO,25.4,82F to 83F,KXHIGHTHOU-26MAR05-B82.5,82.0,LOSS,15.0,-15.0
28,2026-03-05 09:06 AM EST,San Francisco,high,BUY NO,15.1,64F to 65F,KXHIGHTSFO-26MAR05-B64.5,63.0,WIN,15.0,10.21
29,2026-03-05 09:07 AM EST,Austin,low,BUY NO,24.1,69F or above,KXLOWTAUS-26MAR05-T68,71.0,LOSS,15.0,-15.0
30,2026-03-05 09:07 AM EST,Washington DC,high,BUY YES,22.2,60F or below,KXHIGHTDC-26MAR05-T61,59.0,WIN,15.0,31.88
31,2026-03-05 09:24 AM EST,Los Angeles,high,BUY NO,16.2,76F or above,KXHIGHLAX-26MAR05-T75,76.0,LOSS,15.0,-15.0
32,2026-03-05 09:41 AM EST,Dallas,high,BUY NO,25.7,81F to 82F,KXHIGHTDAL-26MAR05-B81.5,82.0,LOSS,15.0,-15.0
33,2026-03-05 09:41 AM EST,Phoenix,high,BUY NO,18.4,81F to 82F,KXHIGHTPHX-26MAR05-B81.5,81.0,LOSS,15.0,-15.0
34,2026-03-05 09:59 AM EST,Denver,low,BUY NO,61.3,36F to 37F,KXLOWTDEN-26MAR05-B36.5,36.0,LOSS,15.0,-15.0
35,2026-03-05 10:17 AM EST,Miami,high,BUY NO,32.7,82F to 83F,KXHIGHMIA-26MAR05-B82.5,84.0,WIN,15.0,46.22
36,2026-03-05 10:53 AM EST,Austin,high,BUY NO,30.1,87F to 88F,KXHIGHAUS-26MAR05-B87.5,88.0,LOSS,15.0,-15.0
37,2026-03-05 11:11 AM EST,Los Angeles,high,BUY NO,26.3,76F or above,KXHIGHLAX-26MAR05-T75,76.0,LOSS,15.0,-15.0
38,2026-03-05 11:44 AM EST,Austin,low,BUY NO,29.8,69F or above,KXLOWTAUS-26MAR05-T68,71.0,LOSS,15.0,-15.0
39,2026-03-05 12:03 PM EST,Atlanta,high,BUY NO,27.4,79F to 80F,KXHIGHTATL-26MAR05-B79.5,81.0,WIN,15.0,17.97
40,2026-03-05 12:03 PM EST,Philadelphia,low,BUY NO,14.6,43F to 44F,KXLOWTPHIL-26MAR05-B43.5,42.0,WIN,15.0,6.58
41,2026-03-05 12:21 PM EST,Seattle,high,BUY NO,24.9,51F to 52F,KXHIGHTSEA-26MAR05-B51.5,51.0,LOSS,15.0,-15.0
42,2026-03-05 12:21 PM EST,Chicago,high,BUY NO,13.6,47F to 48F,KXHIGHCHI-26MAR05-B47.5,51.0,WIN,15.0,8.26
43,2026-03-05 12:50 PM EST,Minneapolis,high,BUY NO,20.4,54F to 55F,KXHIGHTMIN-26MAR05-B54.5,54.0,LOSS,15.0,-15.0
44,2026-03-05 12:58 PM EST,Chicago,high,BUY NO,28.9,49F to 50F,KXHIGHCHI-26MAR05-B49.5,51.0,WIN,15.0,12.52
45,2026-03-05 12:58 PM EST,New York City,low,BUY NO,28.9,39F to 40F,KXLOWTNYC-26MAR05-B39.5,37.0,WIN,15.0,15.61
46,2026-03-05 01:14 PM EST,Philadelphia,high,BUY NO,18.6,49F to 50F,KXHIGHPHIL-26MAR05-B49.5,49.0,LOSS,15.0,-15.0
47,2026-03-05 01:22 PM EST,Austin,high,BUY NO,38.6,87F to 88F,KXHIGHAUS-26MAR05-B87.5,88.0,LOSS,15.0,-15.0
48,2026-03-05 01:29 PM EST,Dallas,high,BUY NO,38.4,79F to 80F,KXHIGHTDAL-26MAR05-B79.5,82.0,WIN,15.0,39.55
49,2026-03-05 01:38 PM EST,Denver,high,BUY NO,22.2,68F to 69F,KXHIGHDEN-26MAR05-B68.5,69.0,LOSS,15.0,-15.0
50,2026-03-05 02:02 PM EST,Las Vegas,high,BUY NO,52.0,65F to 66F,KXHIGHTLV-26MAR05-B65.5,66.0,LOSS,15.0,-15.0
51,2026-03-05 02:18 PM EST,Atlanta,high,BUY NO,30.4,79F to 80F,KXHIGHTATL-26MAR05-B79.5,81.0,WIN,15.0,21.14
52,2026-03-05 02:18 PM EST,Washington DC,high,BUY YES,27.6,60F or below,KXHIGHTDC-26MAR05-T61,59.0,WIN,15.0,12.27
53,2026-03-05 02:34 PM EST,Philadelphia,low,BUY NO,22.8,43F to 44F,KXLOWTPHIL-26MAR05-B43.5,42.0,WIN,15.0,8.26
54,2026-03-05 02:51 PM EST,Seattle,high,BUY YES,26.0,49F to 50F,KXHIGHTSEA-26MAR05-B49.5,51.0,LOSS,15.0,-15.0
55,2026-03-05 02:59 PM EST,Oklahoma City,high,BUY NO,18.7,71F to 72F,KXHIGHTOKC-26MAR05-B71.5,75.0,WIN,15.0,16.91
56,2026-03-05 03:40 PM EST,San Francisco,high,BUY YES,13.4,62F to 63F,KXHIGHTSFO-26MAR05-B62.5,63.0,WIN,15.0,70.71
57,2026-03-05 03:40 PM EST,Phoenix,high,BUY NO,11.7,83F to 84F,KXHIGHTPHX-26MAR05-B83.5,81.0,WIN,15.0,5.69
58,2026-03-05 03:56 PM EST,Minneapolis,high,BUY NO,11.0,52F to 53F,KXHIGHTMIN-26MAR05-B52.5,54.0,WIN,15.0,3.99
59,2026-03-05 04:44 PM EST,Philadelphia,low,BUY NO,29.0,41F to 42F,KXLOWTPHIL-26MAR05-B41.5,42.0,LOSS,15.0,-15.0
60,2026-03-05 06:04 PM EST,New York City,low,BUY NO,44.8,37F to 38F,KXLOWTNYC-26MAR05-B37.5,37.0,LOSS,15.0,-15.0
