n,alert_ts_est,matched_exec_ts_est,city,temp_side,ticker,line,bet,edge_pct,entry_yes_bid,entry_yes_ask,entry_spread_cents,entry_implied_prob_pct,fill_mode,fill_penalty_pct_points,effective_entry_cost_pct,settled_outcome_f,result,wager_usd,payout_usd
1,2026-03-05 12:17 AM EST,2026-03-05 12:17:11 AM EST,Miami,high,KXHIGHMIA-26MAR05-B82.5,82F to 83F,BUY NO,34.7,66.0,67.0,1.0,34.0,half_spread_worse,0.5,34.5,84.0,WIN,15.0,28.48
2,2026-03-05 12:17 AM EST,2026-03-05 12:17:11 AM EST,Minneapolis,high,KXHIGHTMIN-26MAR05-T52,51F or below,BUY NO,18.0,53.0,58.0,5.0,47.0,half_spread_worse,2.5,49.5,54.0,WIN,15.0,15.3
3,2026-03-05 12:17 AM EST,2026-03-05 12:17:11 AM EST,Dallas,high,KXHIGHTDAL-26MAR05-B81.5,81F to 82F,BUY NO,17.7,35.0,37.0,2.0,65.0,half_spread_worse,1.0,66.0,82.0,LOSS,15.0,-15.0
4,2026-03-05 12:35 AM EST,2026-03-05 12:35:05 AM EST,Houston,high,KXHIGHTHOU-26MAR05-B82.5,82F to 83F,BUY NO,18.7,49.0,50.0,1.0,51.0,half_spread_worse,0.5,51.5,82.0,LOSS,15.0,-15.0
5,2026-03-05 12:35 AM EST,2026-03-05 12:35:05 AM EST,Phoenix,high,KXHIGHTPHX-26MAR05-B79.5,79F to 80F,BUY NO,16.9,49.0,50.0,1.0,51.0,half_spread_worse,0.5,51.5,81.0,WIN,15.0,14.13
6,2026-03-05 01:10 AM EST,2026-03-05 01:10:47 AM EST,Denver,low,KXLOWTDEN-26MAR05-B32.5,32F to 33F,BUY NO,9.3,33.0,34.0,1.0,67.0,half_spread_worse,0.5,67.5,36.0,WIN,15.0,7.22
7,2026-03-05 01:46 AM EST,2026-03-05 01:46:30 AM EST,Los Angeles,high,KXHIGHLAX-26MAR05-T75,76F or above,BUY NO,12.7,42.0,43.0,1.0,58.0,half_spread_worse,0.5,58.5,76.0,LOSS,15.0,-15.0
8,2026-03-05 01:46 AM EST,2026-03-05 01:46:30 AM EST,Boston,high,KXHIGHTBOS-26MAR05-T41,42F or above,BUY NO,12.5,50.0,51.0,1.0,50.0,half_spread_worse,0.5,50.5,42.0,LOSS,15.0,-15.0
9,2026-03-05 02:04 AM EST,2026-03-05 02:04:22 AM EST,Las Vegas,high,KXHIGHTLV-26MAR05-B65.5,65F to 66F,BUY NO,42.0,53.0,54.0,1.0,47.0,half_spread_worse,0.5,47.5,66.0,LOSS,15.0,-15.0
10,2026-03-05 02:04 AM EST,2026-03-05 02:04:22 AM EST,New York City,low,KXLOWTNYC-26MAR05-T40,41F or above,BUY NO,37.0,48.0,49.0,1.0,52.0,half_spread_worse,0.5,52.5,37.0,WIN,15.0,13.57
11,2026-03-05 02:22 AM EST,2026-03-05 02:22:02 AM EST,San Antonio,high,KXHIGHTSATX-26MAR05-T84,83F or below,BUY YES,28.6,18.0,23.0,5.0,23.0,half_spread_worse,2.5,25.5,87.0,LOSS,15.0,-15.0
12,2026-03-05 02:22 AM EST,2026-03-05 02:22:02 AM EST,Atlanta,high,KXHIGHTATL-26MAR05-B81.5,81F to 82F,BUY NO,22.4,34.0,35.0,1.0,66.0,half_spread_worse,0.5,66.5,81.0,LOSS,15.0,-15.0
13,2026-03-05 02:39 AM EST,2026-03-05 02:39:50 AM EST,Austin,high,KXHIGHAUS-26MAR05-B87.5,87F to 88F,BUY NO,26.9,37.0,43.0,6.0,63.0,half_spread_worse,3.0,66.0,88.0,LOSS,15.0,-15.0
14,2026-03-05 05:01 AM EST,2026-03-05 05:01:26 AM EST,Philadelphia,high,KXHIGHPHIL-26MAR05-T49,48F or below,BUY YES,20.8,21.0,24.0,3.0,24.0,half_spread_worse,1.5,25.5,49.0,LOSS,15.0,-15.0
15,2026-03-05 05:01 AM EST,2026-03-05 05:01:26 AM EST,Chicago,high,KXHIGHCHI-26MAR05-T45,44F or below,BUY YES,19.7,35.0,36.0,1.0,36.0,half_spread_worse,0.5,36.5,51.0,LOSS,15.0,-15.0
16,2026-03-05 05:55 AM EST,2026-03-05 05:55:07 AM EST,Oklahoma City,high,KXHIGHTOKC-26MAR05-B73.5,73F to 74F,BUY NO,17.3,32.0,33.0,1.0,68.0,half_spread_worse,0.5,68.5,75.0,WIN,15.0,6.9
17,2026-03-05 06:12 AM EST,2026-03-05 06:12:46 AM EST,Chicago,low,KXLOWTCHI-26MAR05-B41.5,41F to 42F,BUY NO,25.8,53.0,54.0,1.0,47.0,half_spread_worse,0.5,47.5,40.0,WIN,15.0,16.58
18,2026-03-05 06:30 AM EST,2026-03-05 06:30:27 AM EST,San Francisco,high,KXHIGHTSFO-26MAR05-B64.5,64F to 65F,BUY NO,14.7,40.0,44.0,4.0,60.0,half_spread_worse,2.0,62.0,63.0,WIN,15.0,9.19
19,2026-03-05 08:17 AM EST,2026-03-05 08:17:08 AM EST,Phoenix,high,KXHIGHTPHX-26MAR05-B81.5,81F to 82F,BUY NO,15.4,42.0,43.0,1.0,58.0,half_spread_worse,0.5,58.5,81.0,LOSS,15.0,-15.0
20,2026-03-05 08:23 AM EST,2026-03-05 08:23:47 AM EST,Denver,high,KXHIGHDEN-26MAR05-B68.5,68F to 69F,BUY NO,14.4,40.0,41.0,1.0,60.0,half_spread_worse,0.5,60.5,69.0,LOSS,15.0,-15.0
21,2026-03-05 08:33 AM EST,2026-03-05 08:33:05 AM EST,Miami,high,KXHIGHMIA-26MAR05-B82.5,82F to 83F,BUY NO,38.8,68.0,69.0,1.0,32.0,half_spread_worse,0.5,32.5,84.0,WIN,15.0,31.15
22,2026-03-05 08:33 AM EST,2026-03-05 08:33:05 AM EST,Washington DC,high,KXHIGHTDC-26MAR05-T61,60F or below,BUY YES,26.2,16.0,24.0,8.0,24.0,half_spread_worse,4.0,28.0,59.0,WIN,15.0,38.57
23,2026-03-05 08:33 AM EST,2026-03-05 08:33:05 AM EST,Denver,high,KXHIGHDEN-26MAR05-B68.5,68F to 69F,BUY NO,14.4,40.0,41.0,1.0,60.0,half_spread_worse,0.5,60.5,69.0,LOSS,15.0,-15.0
24,2026-03-05 08:40 AM EST,2026-03-05 08:40:24 AM EST,Houston,high,KXHIGHTHOU-26MAR05-B82.5,82F to 83F,BUY NO,17.4,51.0,56.0,5.0,49.0,half_spread_worse,2.5,51.5,82.0,LOSS,15.0,-15.0
25,2026-03-05 08:50 AM EST,2026-03-05 08:50:51 AM EST,Los Angeles,high,KXHIGHLAX-26MAR05-T75,76F or above,BUY NO,15.2,47.0,49.0,2.0,53.0,half_spread_worse,1.0,54.0,76.0,LOSS,15.0,-15.0
26,2026-03-05 09:06 AM EST,2026-03-05 09:06:07 AM EST,Las Vegas,high,KXHIGHTLV-26MAR05-B65.5,65F to 66F,BUY NO,48.0,58.0,60.0,2.0,42.0,half_spread_worse,1.0,43.0,66.0,LOSS,15.0,-15.0
27,2026-03-05 09:06 AM EST,2026-03-05 09:06:07 AM EST,Houston,high,KXHIGHTHOU-26MAR05-B82.5,82F to 83F,BUY NO,25.4,59.0,60.0,1.0,41.0,half_spread_worse,0.5,41.5,82.0,LOSS,15.0,-15.0
28,2026-03-05 09:06 AM EST,2026-03-05 09:06:07 AM EST,San Francisco,high,KXHIGHTSFO-26MAR05-B64.5,64F to 65F,BUY NO,15.1,41.0,42.0,1.0,59.0,half_spread_worse,0.5,59.5,63.0,WIN,15.0,10.21
29,2026-03-05 09:07 AM EST,2026-03-05 09:07:25 AM EST,Austin,low,KXLOWTAUS-26MAR05-T68,69F or above,BUY NO,24.1,74.0,81.0,7.0,26.0,half_spread_worse,3.5,29.5,71.0,LOSS,15.0,-15.0
30,2026-03-05 09:07 AM EST,2026-03-05 09:07:25 AM EST,Washington DC,high,KXHIGHTDC-26MAR05-T61,60F or below,BUY YES,22.2,20.0,28.0,8.0,28.0,half_spread_worse,4.0,32.0,59.0,WIN,15.0,31.88
31,2026-03-05 09:24 AM EST,2026-03-05 09:24:07 AM EST,Los Angeles,high,KXHIGHLAX-26MAR05-T75,76F or above,BUY NO,16.2,48.0,49.0,1.0,52.0,half_spread_worse,0.5,52.5,76.0,LOSS,15.0,-15.0
32,2026-03-05 09:41 AM EST,2026-03-05 09:41:55 AM EST,Dallas,high,KXHIGHTDAL-26MAR05-B81.5,81F to 82F,BUY NO,25.7,41.0,46.0,5.0,59.0,half_spread_worse,2.5,61.5,82.0,LOSS,15.0,-15.0
33,2026-03-05 09:41 AM EST,2026-03-05 09:41:55 AM EST,Phoenix,high,KXHIGHTPHX-26MAR05-B81.5,81F to 82F,BUY NO,18.4,44.0,45.0,1.0,56.0,half_spread_worse,0.5,56.5,81.0,LOSS,15.0,-15.0
34,2026-03-05 09:59 AM EST,2026-03-05 09:59:37 AM EST,Denver,low,KXLOWTDEN-26MAR05-B36.5,36F to 37F,BUY NO,61.3,78.0,81.0,3.0,22.0,half_spread_worse,1.5,23.5,36.0,LOSS,15.0,-15.0
35,2026-03-05 10:17 AM EST,2026-03-05 10:17:32 AM EST,Miami,high,KXHIGHMIA-26MAR05-B82.5,82F to 83F,BUY NO,32.7,76.0,77.0,1.0,24.0,half_spread_worse,0.5,24.5,84.0,WIN,15.0,46.22
36,2026-03-05 10:53 AM EST,2026-03-05 10:53:44 AM EST,Austin,high,KXHIGHAUS-26MAR05-B87.5,87F to 88F,BUY NO,30.1,44.0,45.0,1.0,56.0,half_spread_worse,0.5,56.5,88.0,LOSS,15.0,-15.0
37,2026-03-05 11:11 AM EST,2026-03-05 11:11:36 AM EST,Los Angeles,high,KXHIGHLAX-26MAR05-T75,76F or above,BUY NO,26.3,61.0,64.0,3.0,39.0,half_spread_worse,1.5,40.5,76.0,LOSS,15.0,-15.0
38,2026-03-05 11:44 AM EST,2026-03-05 11:44:59 AM EST,Austin,low,KXLOWTAUS-26MAR05-T68,69F or above,BUY NO,29.8,74.0,91.0,17.0,26.0,half_spread_worse,8.5,34.5,71.0,LOSS,15.0,-15.0
39,2026-03-05 12:03 PM EST,2026-03-05 12:03:02 PM EST,Atlanta,high,KXHIGHTATL-26MAR05-B79.5,79F to 80F,BUY NO,27.4,55.0,56.0,1.0,45.0,half_spread_worse,0.5,45.5,81.0,WIN,15.0,17.97
40,2026-03-05 12:03 PM EST,2026-03-05 12:03:02 PM EST,Philadelphia,low,KXLOWTPHIL-26MAR05-B43.5,43F to 44F,BUY NO,14.6,35.0,44.0,9.0,65.0,half_spread_worse,4.5,69.5,42.0,WIN,15.0,6.58
41,2026-03-05 12:21 PM EST,2026-03-05 12:21:28 PM EST,Seattle,high,KXHIGHTSEA-26MAR05-B51.5,51F to 52F,BUY NO,24.9,52.0,53.0,1.0,48.0,half_spread_worse,0.5,48.5,51.0,LOSS,15.0,-15.0
42,2026-03-05 12:21 PM EST,2026-03-05 12:21:28 PM EST,Chicago,high,KXHIGHCHI-26MAR05-B47.5,47F to 48F,BUY NO,13.6,36.0,37.0,1.0,64.0,half_spread_worse,0.5,64.5,51.0,WIN,15.0,8.26
43,2026-03-05 12:50 PM EST,2026-03-05 12:50:37 PM EST,Minneapolis,high,KXHIGHTMIN-26MAR05-B54.5,54F to 55F,BUY NO,20.4,56.0,68.0,12.0,44.0,half_spread_worse,6.0,50.0,54.0,LOSS,15.0,-15.0
44,2026-03-05 12:58 PM EST,2026-03-05 12:58:29 PM EST,Chicago,high,KXHIGHCHI-26MAR05-B49.5,49F to 50F,BUY NO,28.9,46.0,47.0,1.0,54.0,half_spread_worse,0.5,54.5,51.0,WIN,15.0,12.52
45,2026-03-05 12:58 PM EST,2026-03-05 01:06:25 PM EST,New York City,low,KXLOWTNYC-26MAR05-B39.5,39F to 40F,BUY NO,28.9,56.0,66.0,10.0,44.0,half_spread_worse,5.0,49.0,37.0,WIN,15.0,15.61
46,2026-03-05 01:14 PM EST,2026-03-05 01:14:14 PM EST,Philadelphia,high,KXHIGHPHIL-26MAR05-B49.5,49F to 50F,BUY NO,18.6,68.0,69.0,1.0,32.0,half_spread_worse,0.5,32.5,49.0,LOSS,15.0,-15.0
47,2026-03-05 01:22 PM EST,2026-03-05 01:22:02 PM EST,Austin,high,KXHIGHAUS-26MAR05-B87.5,87F to 88F,BUY NO,38.6,57.0,60.0,3.0,43.0,half_spread_worse,1.5,44.5,88.0,LOSS,15.0,-15.0
48,2026-03-05 01:29 PM EST,2026-03-05 01:29:55 PM EST,Dallas,high,KXHIGHTDAL-26MAR05-B79.5,79F to 80F,BUY NO,38.4,74.0,77.0,3.0,26.0,half_spread_worse,1.5,27.5,82.0,WIN,15.0,39.55
49,2026-03-05 01:38 PM EST,2026-03-05 01:38:12 PM EST,Denver,high,KXHIGHDEN-26MAR05-B68.5,68F to 69F,BUY NO,22.2,66.0,67.0,1.0,34.0,half_spread_worse,0.5,34.5,69.0,LOSS,15.0,-15.0
50,2026-03-05 02:02 PM EST,2026-03-05 02:02:15 PM EST,Las Vegas,high,KXHIGHTLV-26MAR05-B65.5,65F to 66F,BUY NO,52.0,63.0,64.0,1.0,37.0,half_spread_worse,0.5,37.5,66.0,LOSS,15.0,-15.0
51,2026-03-05 02:18 PM EST,2026-03-05 02:18:33 PM EST,Atlanta,high,KXHIGHTATL-26MAR05-B79.5,79F to 80F,BUY NO,30.4,59.0,60.0,1.0,41.0,half_spread_worse,0.5,41.5,81.0,WIN,15.0,21.14
52,2026-03-05 02:18 PM EST,2026-03-05 02:18:33 PM EST,Washington DC,high,KXHIGHTDC-26MAR05-T61,60F or below,BUY YES,27.6,49.0,53.0,4.0,53.0,half_spread_worse,2.0,55.0,59.0,WIN,15.0,12.27
53,2026-03-05 02:34 PM EST,2026-03-05 02:34:47 PM EST,Philadelphia,low,KXLOWTPHIL-26MAR05-B43.5,43F to 44F,BUY NO,22.8,40.0,49.0,9.0,60.0,half_spread_worse,4.5,64.5,42.0,WIN,15.0,8.26
54,2026-03-05 02:51 PM EST,2026-03-05 02:51:05 PM EST,Seattle,high,KXHIGHTSEA-26MAR05-B49.5,49F to 50F,BUY YES,26.0,13.0,19.0,6.0,19.0,half_spread_worse,3.0,22.0,51.0,LOSS,15.0,-15.0
55,2026-03-05 02:59 PM EST,2026-03-05 02:59:23 PM EST,Oklahoma City,high,KXHIGHTOKC-26MAR05-B71.5,71F to 72F,BUY NO,18.7,56.0,62.0,6.0,44.0,half_spread_worse,3.0,47.0,75.0,WIN,15.0,16.91
56,2026-03-05 03:40 PM EST,2026-03-05 03:40:06 PM EST,San Francisco,high,KXHIGHTSFO-26MAR05-B62.5,62F to 63F,BUY YES,13.4,16.0,17.0,1.0,17.0,half_spread_worse,0.5,17.5,63.0,WIN,15.0,70.71
57,2026-03-05 03:40 PM EST,2026-03-05 03:40:06 PM EST,Phoenix,high,KXHIGHTPHX-26MAR05-B83.5,83F to 84F,BUY NO,11.7,30.0,35.0,5.0,70.0,half_spread_worse,2.5,72.5,81.0,WIN,15.0,5.69
58,2026-03-05 03:56 PM EST,2026-03-05 03:56:23 PM EST,Minneapolis,high,KXHIGHTMIN-26MAR05-B52.5,52F to 53F,BUY NO,11.0,22.0,24.0,2.0,78.0,half_spread_worse,1.0,79.0,54.0,WIN,15.0,3.99
59,2026-03-05 04:44 PM EST,2026-03-05 04:44:23 PM EST,Philadelphia,low,KXLOWTPHIL-26MAR05-B41.5,41F to 42F,BUY NO,29.0,61.0,73.0,12.0,39.0,half_spread_worse,6.0,45.0,42.0,LOSS,15.0,-15.0
60,2026-03-05 06:04 PM EST,2026-03-05 06:04:47 PM EST,New York City,low,KXLOWTNYC-26MAR05-B37.5,37F to 38F,BUY NO,44.8,80.0,86.0,6.0,20.0,half_spread_worse,3.0,23.0,37.0,LOSS,15.0,-15.0
